CustomerID,RecencyDays,Frequency,Monetary,FirstPurchase,LastPurchase,R_Score,F_Score,M_Score,RFM_Score,Segment,AvgMonthlyRevenue
12388,16,8,3901.11,2010-05-06 12:54:00,2011-11-24 12:30:00,5,4,5,545,Champions,206.7726148409894
12389,403,3,1433.33,2010-02-22 10:15:00,2010-11-02 11:52:00,2,3,4,234,At Risk (High Value),169.9600790513834
12390,80,1,549.84,2011-09-21 09:33:00,2011-09-21 09:33:00,3,1,2,312,Regular,549.84
12391,22,6,2773.42,2010-02-15 10:12:00,2011-11-18 12:07:00,4,4,4,444,Champions,129.801248049922
12392,591,1,234.75000000000003,2010-04-27 14:04:00,2010-04-27 14:04:00,1,1,1,111,Hibernating,234.75000000000003
12393,72,6,2399.4500000000003,2010-10-07 13:49:00,2011-09-28 15:41:00,3,4,4,344,Regular,202.20084269662922
12394,64,2,1272.48,2011-05-06 14:01:00,2011-10-07 08:08:00,3,2,4,324,Regular,249.5058823529412
12395,19,15,5067.27,2010-04-16 10:16:00,2011-11-20 15:21:00,5,5,5,555,Champions,260.7514579759863
12396,674,1,931.43,2010-02-03 13:22:00,2010-02-03 13:22:00,1,1,3,113,Hibernating,931.43
12397,36,2,2409.9,2011-07-27 14:21:00,2011-11-04 09:52:00,4,2,4,424,New/Promising,730.2727272727274
12398,46,1,1635.6599999999999,2011-10-25 10:27:00,2011-10-25 10:27:00,4,1,4,414,New/Promising,1635.6599999999999
12399,119,7,1962.3,2010-03-05 08:45:00,2011-08-12 13:15:00,3,4,4,344,Regular,112.13142857142857
12400,414,1,205.25,2010-10-21 13:45:00,2010-10-21 13:45:00,1,1,1,111,Hibernating,205.25
12401,303,1,84.3,2011-02-09 13:50:00,2011-02-09 13:50:00,2,1,1,211,Hibernating,84.3
12402,323,6,1256.9,2010-02-07 12:41:00,2011-01-20 13:49:00,2,4,4,244,At Risk (High Value),108.66570605187322
12403,50,2,1019.36,2010-07-06 11:39:00,2011-10-21 10:51:00,4,2,3,423,New/Promising,64.92738853503185
12404,682,1,63.24,2010-01-26 16:25:00,2010-01-26 16:25:00,1,1,1,111,Hibernating,63.24
12405,149,1,1710.39,2011-07-14 08:52:00,2011-07-14 08:52:00,3,1,4,314,Regular,1710.39
12406,22,5,6390.36,2010-01-11 14:04:00,2011-11-17 19:22:00,4,4,5,445,Champions,284.01599999999996
12407,50,5,1708.1200000000001,2011-03-20 13:21:00,2011-10-21 10:11:00,4,4,4,444,Champions,239.45607476635513
12408,33,8,4340.7699999999995,2010-07-29 13:27:00,2011-11-07 12:27:00,4,4,5,445,Champions,280.0496774193548
12409,79,7,23419.29,2010-05-23 15:21:00,2011-09-22 10:38:00,3,4,5,345,Regular,1445.6351851851853
12410,309,3,1013.71,2010-07-25 13:26:00,2011-02-04 10:39:00,2,3,3,233,At Risk (High Value),157.5715025906736
12411,410,1,346.9,2010-10-26 09:25:00,2010-10-26 09:25:00,2,1,2,212,Hibernating,346.9
12412,75,6,2596.93,2010-06-18 13:22:00,2011-09-26 10:16:00,3,4,4,344,Regular,167.9049568965517
12413,67,4,999.45,2010-11-02 13:26:00,2011-10-04 09:00:00,3,3,3,333,Regular,89.50298507462688
12414,217,6,952.41,2010-09-02 12:22:00,2011-05-06 14:51:00,2,4,3,243,At Risk (High Value),116.14756097560976
12415,24,28,144458.37,2010-06-30 08:30:00,2011-11-15 14:22:00,4,5,5,455,Champions,8615.807355864812
12416,657,1,202.56,2010-02-21 10:19:00,2010-02-21 10:19:00,1,1,1,111,Hibernating,202.56
12417,3,20,6816.91,2009-12-06 10:30:00,2011-12-06 14:52:00,5,5,5,555,Champions,280.14698630136985
12418,113,4,2021.2,2010-03-19 14:47:00,2011-08-19 11:08:00,3,3,4,334,Regular,117.28433268858801
12419,386,2,503.01,2010-10-22 10:40:00,2010-11-19 10:04:00,2,2,2,222,Hibernating,503.01
12420,64,1,600.39,2011-10-07 08:55:00,2011-10-07 08:55:00,3,1,2,312,Regular,600.39
12421,16,6,1098.6,2010-07-22 13:57:00,2011-11-24 09:07:00,5,4,3,543,Loyal,67.39877300613496
12422,96,17,5231.8,2009-12-18 12:44:00,2011-09-05 09:48:00,3,5,5,355,Regular,251.12640000000002
12423,1,10,2622.39,2010-08-31 09:31:00,2011-12-09 10:10:00,5,5,4,554,Champions,169.18645161290323
12424,163,4,3340.03,2010-06-09 15:15:00,2011-06-30 12:06:00,3,3,5,335,Regular,260.26207792207794
12425,78,2,1741.41,2010-09-17 14:10:00,2011-09-22 17:31:00,3,2,4,324,Regular,141.1954054054054
12426,195,2,1345.21,2010-02-15 08:41:00,2011-05-29 12:26:00,2,2,4,224,Hibernating,86.23141025641026
12427,22,3,1129.3,2010-12-03 10:44:00,2011-11-18 08:56:00,4,3,3,433,Loyal,97.07449856733524
12428,26,9,7956.46,2011-03-01 09:33:00,2011-11-14 08:22:00,4,5,5,455,Champions,928.7696498054476
12429,9,8,7485.91,2010-06-11 13:28:00,2011-11-30 17:22:00,5,4,5,545,Champions,418.20726256983244
12430,43,1,256.4,2011-10-27 15:09:00,2011-10-27 15:09:00,4,1,1,411,New/Promising,256.4
12431,36,27,10857.97,2010-01-15 09:04:00,2011-11-04 11:55:00,4,5,5,455,Champions,495.0442249240121
12432,43,5,5059.32,2011-06-20 13:27:00,2011-10-28 11:43:00,4,4,5,445,Champions,1176.586046511628
12433,1,10,20581.26,2010-08-20 09:23:00,2011-12-09 10:02:00,5,5,5,555,Champions,1297.1382352941175
12434,85,3,1103.43,2010-11-23 13:38:00,2011-09-16 12:38:00,3,3,3,333,Regular,111.83412162162162
12435,80,6,13925.93,2009-12-02 13:58:00,2011-09-21 09:06:00,3,4,5,345,Regular,635.8872146118722
12436,100,1,509.01,2011-09-01 12:09:00,2011-09-01 12:09:00,3,1,2,312,Regular,509.01
12437,2,39,12683.4,2009-12-02 16:24:00,2011-12-08 11:35:00,5,5,5,555,Champions,517.6897959183673
12438,14,2,2906.85,2011-07-22 13:29:00,2011-11-25 13:28:00,5,2,4,524,New/Promising,697.6439999999999
12439,683,2,1158.18,2009-12-14 08:40:00,2010-01-26 12:11:00,1,2,3,123,Hibernating,808.0325581395349
12440,462,2,859.2,2009-12-22 12:03:00,2010-09-03 13:11:00,1,2,3,123,Hibernating,101.08235294117648
12441,367,1,347.1,2010-12-08 10:45:00,2010-12-08 10:45:00,2,1,2,212,Hibernating,347.1
12442,3,1,172.06,2011-12-06 14:22:00,2011-12-06 14:22:00,5,1,1,511,New/Promising,172.06
12443,732,1,485.31,2009-12-07 15:42:00,2009-12-07 15:42:00,1,1,2,112,Hibernating,485.31
12444,21,5,5005.46,2011-06-21 14:00:00,2011-11-18 13:23:00,4,4,5,445,Champions,1007.8107382550336
12445,22,2,434.98,2010-10-15 12:28:00,2011-11-17 18:43:00,4,2,2,422,New/Promising,32.78743718592965
12446,58,1,1002.3100000000001,2011-10-13 12:50:00,2011-10-13 12:50:00,4,1,3,413,New/Promising,1002.3100000000001
12447,243,1,476.49,2011-04-10 13:25:00,2011-04-10 13:25:00,2,1,2,212,Hibernating,476.49
12448,44,1,449.45,2011-10-26 13:46:00,2011-10-26 13:46:00,4,1,2,412,New/Promising,449.45
12449,22,6,4835.89,2010-09-27 09:37:00,2011-11-17 13:46:00,4,4,5,445,Champions,348.7420673076923
12450,156,5,688.2,2010-08-22 13:11:00,2011-07-06 14:41:00,3,4,3,343,Regular,64.9245283018868
12451,11,8,12669.88,2010-06-28 12:58:00,2011-11-29 08:40:00,5,4,5,545,Champions,733.7768339768339
12452,17,2,430.57,2011-11-23 08:05:00,2011-11-23 10:28:00,5,2,2,522,New/Promising,430.57
12453,134,1,707.09,2011-07-28 14:08:00,2011-07-28 14:08:00,3,1,3,313,Regular,707.09
12454,56,5,16679.78,2010-10-14 17:33:00,2011-10-14 17:13:00,4,4,5,445,Champions,1374.7071428571428
12455,73,10,5879.95,2009-12-18 12:33:00,2011-09-27 15:31:00,3,5,5,355,Regular,272.2199074074074
12456,44,3,3181.04,2011-03-30 09:12:00,2011-10-26 14:41:00,4,3,5,435,Loyal,454.4342857142857
12457,66,8,2995.91,2010-09-30 17:59:00,2011-10-04 13:13:00,3,4,5,345,Regular,244.23179347826084
12458,71,4,1777.49,2010-08-09 10:33:00,2011-09-29 15:25:00,3,3,4,334,Regular,128.184375
12459,605,1,454.36,2010-04-13 14:53:00,2010-04-13 14:53:00,1,1,2,112,Hibernating,454.36
12460,456,1,326.65,2010-09-09 13:51:00,2010-09-09 13:51:00,1,1,2,112,Hibernating,326.65
12461,94,2,826.88,2011-07-08 10:23:00,2011-09-06 16:57:00,3,2,3,323,Regular,413.44
12462,19,2,1189.59,2011-02-09 14:44:00,2011-11-21 09:11:00,5,2,3,523,New/Promising,125.66091549295774
12463,53,4,1344.78,2011-04-12 12:47:00,2011-10-17 13:44:00,4,3,4,434,Loyal,214.59255319148937
12464,10,8,1212.05,2011-02-03 13:30:00,2011-11-29 13:33:00,5,4,3,543,Loyal,121.61036789297658
12465,17,2,742.1899999999999,2011-06-23 13:37:00,2011-11-22 16:34:00,5,2,3,523,New/Promising,146.48486842105262
12466,682,1,56.73,2010-01-26 16:26:00,2010-01-26 16:26:00,1,1,1,111,Hibernating,56.73
12467,423,1,132.8,2010-10-12 15:41:00,2010-10-12 15:41:00,1,1,1,111,Hibernating,132.8
12468,188,5,3670.74,2010-01-26 10:09:00,2011-06-05 11:36:00,3,4,5,345,Regular,222.4690909090909
12469,523,2,3070.54,2010-06-21 10:30:00,2010-07-05 12:40:00,1,2,5,125,Hibernating,3070.54
12470,690,1,211.95,2010-01-19 11:01:00,2010-01-19 11:01:00,1,1,1,111,Hibernating,211.95
12471,2,79,39963.79,2009-12-07 10:41:00,2011-12-07 15:43:00,5,5,5,555,Champions,1642.3475342465754
12472,32,19,17880.59,2009-12-14 10:49:00,2011-11-07 14:01:00,4,5,5,455,Champions,774.0515151515151
12473,29,5,3938.5499999999997,2011-06-01 10:15:00,2011-11-10 13:46:00,4,4,5,445,Champions,729.361111111111
12474,17,31,12424.45,2010-02-11 09:41:00,2011-11-22 14:39:00,5,5,5,555,Champions,574.3197226502311
12475,54,2,1149.64,2010-10-26 08:49:00,2011-10-17 10:10:00,4,2,3,423,New/Promising,96.87977528089888
12476,16,23,14115.41,2010-07-26 09:04:00,2011-11-24 12:40:00,5,5,5,555,Champions,871.3216049382717
12477,23,9,20276.37,2010-03-26 14:01:00,2011-11-17 09:51:00,4,5,5,455,Champions,1013.8185
12478,4,1,680.99,2011-12-06 09:56:00,2011-12-06 09:56:00,5,1,3,513,New/Promising,680.99
12479,11,1,527.2,2011-11-28 13:26:00,2011-11-28 13:26:00,5,1,2,512,New/Promising,527.2
12480,28,7,5464.85,2010-07-20 13:21:00,2011-11-11 14:52:00,4,4,5,445,Champions,342.26617954070986
12481,23,15,12361.39,2010-04-11 13:10:00,2011-11-17 08:29:00,4,5,5,455,Champions,635.0029109589042
12482,576,29,23691.4,2010-02-24 10:24:00,2010-05-12 16:51:00,1,5,5,155,At Risk (High Value),9230.415584415585
12483,17,19,5120.58,2010-01-31 13:28:00,2011-11-22 17:02:00,5,5,5,555,Champions,232.75363636363636
12484,33,12,6370.15,2010-01-27 16:41:00,2011-11-07 11:37:00,4,5,5,455,Champions,294.9143518518518
12485,529,1,708.1,2010-06-28 15:22:00,2010-06-28 15:22:00,1,1,3,113,Hibernating,708.1
12486,432,1,1037.28,2010-10-04 12:14:00,2010-10-04 12:14:00,1,1,3,113,Hibernating,1037.28
12487,731,1,285.29999999999995,2009-12-09 11:36:00,2009-12-09 11:36:00,1,1,1,111,Hibernating,285.29999999999995
12488,10,3,1298.66,2011-09-25 10:34:00,2011-11-30 08:50:00,5,3,4,534,Loyal,599.3815384615385
12489,336,1,334.93,2011-01-07 13:13:00,2011-01-07 13:13:00,2,1,2,212,Hibernating,334.93
12490,5,21,9823.64,2009-12-01 12:52:00,2011-12-04 16:07:00,5,5,5,555,Champions,402.0589358799454
12491,39,1,460.40000000000003,2011-11-01 12:18:00,2011-11-01 12:18:00,4,1,2,412,New/Promising,460.40000000000003
12492,63,3,715.21,2010-11-01 14:58:00,2011-10-07 15:15:00,3,3,3,333,Regular,63.106764705882355
12493,166,2,433.74,2011-05-26 14:53:00,2011-06-27 10:17:00,3,2,2,322,Regular,419.74838709677414
12494,16,9,1872.8700000000001,2010-05-12 13:52:00,2011-11-24 09:34:00,5,5,4,554,Champions,100.33232142857143
12495,641,1,357.4,2010-03-09 10:53:00,2010-03-09 10:53:00,1,1,2,112,Hibernating,357.4
12496,620,2,54.09,2010-03-29 13:57:00,2010-03-29 14:06:00,1,2,1,121,Hibernating,54.09
12497,82,3,6248.5,2010-03-05 09:39:00,2011-09-19 12:29:00,3,3,5,335,Regular,332.9573712255773
12498,21,3,403.70000000000005,2011-10-13 09:30:00,2011-11-18 12:53:00,4,3,2,432,Regular,336.41666666666674
12499,560,1,393.72,2010-05-28 15:12:00,2010-05-28 15:12:00,1,1,2,112,Hibernating,393.72
12500,23,19,5955.21,2010-02-04 15:05:00,2011-11-16 16:20:00,4,5,5,455,Champions,274.85584615384613
12501,337,1,2169.39,2011-01-07 12:28:00,2011-01-07 12:28:00,2,1,4,214,Hibernating,2169.39
12502,96,5,3723.87,2011-02-03 10:41:00,2011-09-05 11:52:00,3,4,5,345,Regular,522.0378504672897
12503,584,1,1126.0,2010-05-04 13:59:00,2010-05-04 13:59:00,1,1,3,113,Hibernating,1126.0
12504,18,4,779.05,2010-04-22 10:24:00,2011-11-21 16:02:00,5,3,3,533,Loyal,40.43512110726643
12505,409,1,955.2,2010-10-27 09:18:00,2010-10-27 09:18:00,2,1,3,213,Hibernating,955.2
12506,233,1,73.5,2011-04-21 08:54:00,2011-04-21 08:54:00,2,1,1,211,Hibernating,73.5
12507,134,4,1844.06,2010-05-04 09:23:00,2011-07-28 17:09:00,3,3,4,334,Regular,122.93733333333333
12508,26,2,398.27,2011-11-10 16:27:00,2011-11-13 15:37:00,4,2,2,422,New/Promising,398.27
12509,284,1,176.5,2011-02-28 14:45:00,2011-02-28 14:45:00,2,1,1,211,Hibernating,176.5
12510,143,9,5178.02,2009-12-04 13:47:00,2011-07-20 10:15:00,3,5,5,355,Regular,262.39966216216214
12511,429,1,3084.02,2010-10-07 10:39:00,2010-10-07 10:39:00,1,1,5,115,Hibernating,3084.02
12512,66,2,138.03,2011-10-04 14:53:00,2011-10-04 14:55:00,3,2,1,321,Regular,138.03
12513,113,1,612.29,2011-08-19 10:51:00,2011-08-19 10:51:00,3,1,2,312,Regular,612.29
12514,267,2,1597.76,2010-03-08 12:18:00,2011-03-17 16:38:00,2,2,4,224,Hibernating,128.16256684491978
12515,353,1,383.7,2010-12-21 15:43:00,2010-12-21 15:43:00,2,1,2,212,Hibernating,383.7
12516,78,4,2648.62,2010-04-19 14:14:00,2011-09-23 09:13:00,3,3,4,334,Regular,152.5117082533589
12517,28,5,2502.84,2011-06-02 15:13:00,2011-11-11 14:04:00,4,4,4,444,Champions,466.3677018633541
12518,1,5,2056.89,2011-08-21 13:18:00,2011-12-09 10:13:00,5,4,4,544,Champions,566.1165137614679
12519,64,2,726.54,2010-08-20 08:21:00,2011-10-07 09:26:00,3,2,3,323,Regular,52.775302663438254
12520,79,5,2634.26,2011-03-11 11:35:00,2011-09-21 15:23:00,3,4,4,344,Regular,407.35979381443303
12521,143,1,599.68,2011-07-20 10:51:00,2011-07-20 10:51:00,3,1,2,312,Regular,599.68
12522,39,2,192.72,2011-10-19 14:41:00,2011-10-31 15:30:00,4,2,1,421,New/Promising,192.72
12523,19,23,4372.15,2009-12-07 13:46:00,2011-11-20 12:55:00,5,5,5,555,Champions,184.2198033707865
12524,9,17,11126.11,2010-02-08 14:41:00,2011-11-30 15:31:00,5,5,5,555,Champions,505.73227272727274
12525,498,3,973.73,2010-03-02 14:01:00,2010-07-29 16:08:00,1,3,3,133,At Risk (High Value),196.05302013422818
12526,1,3,1316.66,2011-09-06 14:19:00,2011-12-09 12:09:00,5,3,4,534,Loyal,424.72903225806454
12527,82,5,735.51,2010-06-28 15:37:00,2011-09-19 11:55:00,3,4,3,343,Regular,49.363087248322145
12528,9,6,1933.48,2011-01-31 09:05:00,2011-11-30 14:40:00,5,4,4,544,Champions,191.43366336633665
12529,528,1,316.48,2010-06-29 13:10:00,2010-06-29 13:10:00,1,1,2,112,Hibernating,316.48
12530,60,9,3759.26,2010-03-07 14:37:00,2011-10-11 12:34:00,3,5,5,355,Regular,193.77628865979383
12531,15,2,1933.2,2010-01-22 14:17:00,2011-11-25 11:12:00,5,2,4,524,New/Promising,86.43219076005961
12532,30,1,349.83000000000004,2011-11-09 13:47:00,2011-11-09 13:47:00,4,1,2,412,New/Promising,349.83000000000004
12533,628,2,1367.89,2009-12-01 11:50:00,2010-03-22 10:56:00,1,2,4,124,Hibernating,373.06090909090915
12534,131,1,1089.18,2011-08-01 10:26:00,2011-08-01 10:26:00,3,1,3,313,Regular,1089.18
12535,92,2,716.35,2011-06-06 12:47:00,2011-09-09 08:48:00,3,2,3,323,Regular,228.62234042553192
12536,43,3,12601.830000000002,2011-10-11 14:52:00,2011-10-27 14:20:00,4,3,5,435,Loyal,12601.830000000002
12537,409,1,732.94,2010-10-27 08:36:00,2010-10-27 08:36:00,2,1,3,213,Hibernating,732.94
12538,29,2,640.45,2010-11-26 13:02:00,2011-11-10 17:16:00,4,2,3,423,New/Promising,55.053008595988544
12539,22,7,11214.75,2009-12-23 13:00:00,2011-11-17 13:30:00,4,4,5,445,Champions,484.7874639769453
12540,20,33,22254.49,2009-12-07 16:56:00,2011-11-20 11:31:00,4,5,5,455,Champions,937.6891853932584
12541,30,3,981.18,2011-03-04 09:32:00,2011-11-10 10:40:00,4,3,3,433,Loyal,117.27250996015935
12542,484,2,481.88,2010-03-09 16:26:00,2010-08-12 19:12:00,1,2,2,122,Hibernating,92.66923076923077
12543,448,1,980.25,2010-09-17 15:51:00,2010-09-17 15:51:00,1,1,3,113,Hibernating,980.25
12544,36,1,372.7,2011-11-03 16:15:00,2011-11-03 16:15:00,4,1,2,412,New/Promising,372.7
12545,75,2,1000.39,2011-03-25 12:04:00,2011-09-25 13:39:00,3,2,3,323,Regular,163.1070652173913
12546,47,2,1161.5,2011-09-23 09:44:00,2011-10-24 12:09:00,4,2,3,423,New/Promising,1124.032258064516
12547,198,3,383.58,2010-07-27 13:55:00,2011-05-26 12:38:00,2,3,2,232,Regular,38.10397350993377
12548,166,1,95.19999999999999,2011-06-26 15:35:00,2011-06-26 15:35:00,3,1,1,311,Regular,95.19999999999999
12549,576,6,1575.68,2010-01-11 12:29:00,2010-05-13 12:05:00,1,4,4,144,At Risk (High Value),390.6644628099174
12550,79,1,964.83,2011-09-21 14:35:00,2011-09-21 14:35:00,3,1,3,313,Regular,964.83
12551,358,1,168.0,2010-12-17 11:23:00,2010-12-17 11:23:00,2,1,1,211,Hibernating,168.0
12552,39,2,437.82,2011-10-31 12:11:00,2011-11-01 10:02:00,4,2,2,422,New/Promising,437.82
12553,8,12,4608.75,2010-10-12 13:35:00,2011-12-01 16:38:00,5,5,5,555,Champions,333.1626506024096
12554,449,1,468.5,2010-09-17 12:29:00,2010-09-17 12:29:00,1,1,2,112,Hibernating,468.5
12555,682,1,129.23,2010-01-26 16:26:00,2010-01-26 16:26:00,1,1,1,111,Hibernating,129.23
12556,50,2,603.71,2011-07-11 13:35:00,2011-10-20 13:06:00,4,2,2,422,New/Promising,181.113
12557,16,8,18716.14,2009-12-17 10:39:00,2011-11-23 16:59:00,5,4,5,545,Champions,795.3033994334277
12558,8,1,269.96,2011-12-02 10:41:00,2011-12-02 10:41:00,5,1,1,511,New/Promising,269.96
12559,311,2,561.71,2011-01-24 10:12:00,2011-02-02 09:49:00,2,2,2,222,Hibernating,561.71
12560,5,3,2134.01,2011-07-19 15:55:00,2011-12-04 13:54:00,5,3,4,534,Loyal,467.3014598540147
12561,303,1,238.85,2011-02-10 11:39:00,2011-02-10 11:39:00,2,1,1,211,Hibernating,238.85
12562,8,9,4966.92,2010-09-30 13:13:00,2011-12-01 17:20:00,5,5,5,555,Champions,348.9639344262295
12563,409,1,249.24,2010-10-27 09:52:00,2010-10-27 09:52:00,2,1,1,211,Hibernating,249.24
12564,261,1,456.9,2011-03-23 14:55:00,2011-03-23 14:55:00,2,1,2,212,Hibernating,456.9
12565,289,1,145.92,2011-02-24 10:34:00,2011-02-24 10:34:00,2,1,1,211,Hibernating,145.92
12566,86,1,351.65,2011-09-14 14:30:00,2011-09-14 14:30:00,3,1,2,312,Regular,351.65
12567,23,15,13709.86,2010-02-11 10:30:00,2011-11-17 11:02:00,4,5,5,455,Champions,638.6580745341615
12568,645,1,70.0,2010-03-05 09:15:00,2010-03-05 09:15:00,1,1,1,111,Hibernating,70.0
12569,2,32,4124.69,2011-04-01 13:47:00,2011-12-07 16:24:00,5,5,5,555,Champions,494.9627999999999
12570,682,1,77.52,2010-01-26 17:28:00,2010-01-26 17:28:00,1,1,1,111,Hibernating,77.52
12571,40,2,519.61,2011-08-10 12:35:00,2011-10-31 10:19:00,4,2,2,422,New/Promising,192.44814814814814
12572,9,2,1020.42,2011-10-19 08:20:00,2011-12-01 09:20:00,5,2,3,523,New/Promising,711.9209302325581
12573,227,5,717.41,2010-08-31 17:25:00,2011-04-26 15:52:00,2,4,3,243,At Risk (High Value),90.81139240506329
12574,316,1,218.45,2011-01-28 09:20:00,2011-01-28 09:20:00,2,1,1,211,Hibernating,218.45
12575,457,2,622.8199999999999,2010-07-01 09:15:00,2010-09-08 13:09:00,1,2,3,123,Hibernating,270.7913043478261
12576,36,8,2142.72,2010-07-01 13:46:00,2011-11-04 10:11:00,4,4,4,444,Champions,131.1869387755102
12577,35,8,1653.75,2009-12-03 19:31:00,2011-11-04 13:24:00,4,4,4,444,Champions,70.875
12578,21,4,4642.45,2010-09-22 11:19:00,2011-11-18 13:30:00,4,3,5,435,Loyal,330.03199052132703
12579,78,1,440.42,2011-09-22 17:15:00,2011-09-22 17:15:00,3,1,2,312,Regular,440.42
12580,247,2,1052.9,2010-05-12 11:45:00,2011-04-07 10:24:00,2,2,3,223,Hibernating,96.00911854103344
12581,40,1,197.71,2011-10-31 08:56:00,2011-10-31 08:56:00,4,1,1,411,New/Promising,197.71
12582,239,4,1980.4,2010-05-11 09:55:00,2011-04-15 08:45:00,2,3,4,234,At Risk (High Value),175.77514792899407
12583,3,27,14447.44,2009-12-06 11:57:00,2011-12-07 08:07:00,5,5,5,555,Champions,593.7304109589041
12584,4,9,2338.15,2011-03-04 15:15:00,2011-12-06 09:35:00,5,5,4,554,Champions,254.1467391304348
12585,234,2,2040.1,2010-12-23 12:58:00,2011-04-19 13:39:00,2,2,4,224,Hibernating,523.1025641025641
